permno,ticker,company_name,date,open_price,high_price,low_price,close_price,close_ratio
10145,ACD,ALLIED CHEMICAL CORP,1981-01-01,,55.875,48.0,50.0,0.9345794392523364
11308,KO,COCA COLA CO,1981-01-01,,36.375,32.75,33.625,1.0074906367041199
11404,ED,CONSOLIDATED EDISON CO NY INC,1981-01-01,,25.75,24.125,24.5,0.9849246231155779
11674,DTE,DETROIT EDISON CO,1981-01-01,,12.0,10.875,11.5,1.0574712643678161
11762,ETN,EATON CORP,1981-01-01,,29.5,26.5,29.0,1.0175438596491229
11850,XON,EXXON CORP,1981-01-01,,82.0,75.5,77.75,0.9643410852713178
12052,GD,GENERAL DYNAMICS CORP,1981-01-01,,43.0,33.875,34.375,0.804093567251462
12060,GE,GENERAL ELECTRIC CO,1981-01-01,,64.5,59.125,61.25,1.0
12490,IBM,INTERNATIONAL BUSINESS MACHS COR,1981-01-01,,71.5,64.0,64.375,0.9484346224677717
13856,PEP,PEPSICO INC,1981-01-01,,30.375,27.0,30.375,1.114678899082569
13901,MO,PHILIP MORRIS INC,1981-01-01,,47.875,42.25,43.75,1.0115606936416186
13928,P,PHILLIPS PETROLEUM CO,1981-01-01,,59.5,51.0,51.0,0.8680851063829788
14541,SD,STANDARD OIL CO CALIFORNIA,1981-01-01,,103.5,91.0,91.25,0.9170854271356784
15579,TXN,TEXAS INSTRUMENTS INC,1981-01-01,,125.25,110.25,110.25,0.9130434782608695
15720,SCE,SOUTHERN CALIFORNIA EDISON CO,1981-01-01,,26.25,24.125,24.25,0.9463414634146341
16600,HSY,HERSHEY FOODS CORP,1981-01-01,,25.125,23.125,23.75,1.0106382978723405
16678,KR,KROGER CO,1981-01-01,,23.5,19.625,20.0,0.9195402298850575
17005,MES,MELVILLE CORP,1981-01-01,,39.875,35.125,38.875,1.118705035971223
17478,MHP,MCGRAW HILL INC,1981-01-01,,46.25,40.5,43.0,0.9297297297297298
17750,KMB,KIMBERLY CLARK CORP,1981-01-01,,58.875,53.375,57.875,1.0868544600938967
17830,UTX,UNITED TECHNOLOGIES CORP,1981-01-01,,65.75,54.0,55.25,0.9057377049180327
18163,PG,PROCTER & GAMBLE CO,1981-01-01,,72.5,66.25,67.0,0.9727767695099818
18411,SO,SOUTHERN CO,1981-01-01,,12.75,11.25,11.625,0.9489795918367347
18542,CAT,CATERPILLAR TRACTOR INC,1981-01-01,,59.375,55.0,55.5,0.9568965517241379
18729,CL,COLGATE PALMOLIVE CO,1981-01-01,,16.125,14.25,14.625,1.0
19350,DE,DEERE & CO,1981-01-01,,48.0,41.25,42.25,0.8802083333333334
19393,BMY,BRISTOL MYERS CO,1981-01-01,,52.5,45.75,49.25,0.9776674937965261
19561,BA,BOEING CO,1981-01-01,,44.25,39.375,39.75,0.9008498583569405
20482,ABT,ABBOTT LABORATORIES,1981-01-01,,61.0,53.5,55.0,0.9734513274336283
21573,IP,INTERNATIONAL PAPER CO,1981-01-01,,44.625,41.25,42.125,1.0029761904761905
21776,PE,PHILADELPHIA ELECTRIC CO,1981-01-01,,14.0,12.5,13.125,1.05
21936,PFE,PFIZER INC,1981-01-01,,54.625,48.375,50.5,0.9439252336448598
22293,GLW,CORNING GLASS WORKS,1981-01-01,,63.75,59.375,59.875,1.0041928721174005
22509,PPG,P P G INDUSTRIES INC,1981-01-01,,44.25,35.5,42.625,1.0460122699386503
22592,MMM,MINNESOTA MINING & MFG CO,1981-01-01,,63.25,56.75,58.125,0.9851694915254238
22752,MRK,MERCK & CO INC,1981-01-01,,87.0,81.25,82.75,0.976401179941003
22779,MOT,MOTOROLA INC,1981-01-01,,73.0,64.25,64.5,0.8835616438356164
23026,OEC,OHIO EDISON CO,1981-01-01,,13.0,11.875,12.625,1.063157894736842
23712,PEG,PUBLIC SERVICE ELECTRIC & GAS CO,1981-01-01,,19.25,17.0,18.875,1.1102941176470589
23819,HAL,HALLIBURTON CO,1981-01-01,,84.5,73.25,73.5,0.8802395209580839
23931,NSP,NORTHERN STATES POWER CO MN,1981-01-01,,22.75,20.375,21.0,0.9767441860465116
24010,MSU,MIDDLE SOUTH UTILITIES INC,1981-01-01,,12.625,11.625,11.875,1.0326086956521738
24109,AEP,AMERICAN ELECTRIC POWER CO INC,1981-01-01,,18.375,16.625,17.25,1.0222222222222221
24643,AA,ALUMINUM COMPANY AMER,1981-01-01,,66.5,59.75,61.375,1.029350104821803
25320,CPB,CAMPBELL SOUP CO,1981-01-01,,33.875,30.5,32.75,1.0564516129032258
25785,F,FORD MOTOR CO DEL,1981-01-01,,21.875,18.5,19.75,0.9875
10145,ACD,ALLIED CHEMICAL CORP,1981-02-01,,54.0,46.875,53.25,1.065
11308,KO,COCA COLA CO,1981-02-01,,36.0,32.75,35.875,1.066914498141264
11404,ED,CONSOLIDATED EDISON CO NY INC,1981-02-01,,24.375,22.625,23.25,0.9489795918367347
11674,DTE,DETROIT EDISON CO,1981-02-01,,11.625,11.0,11.375,0.9891304347826086
11762,ETN,EATON CORP,1981-02-01,,31.875,27.75,31.875,1.0991379310344829
11850,XON,EXXON CORP,1981-02-01,,77.375,69.75,72.0,0.9260450160771704
12052,GD,GENERAL DYNAMICS CORP,1981-02-01,,34.375,31.125,33.75,0.9818181818181818
12060,GE,GENERAL ELECTRIC CO,1981-02-01,,67.75,59.875,66.75,1.089795918367347
12490,IBM,INTERNATIONAL BUSINESS MACHS COR,1981-02-01,,64.875,60.25,64.25,0.9980582524271845
13856,PEP,PEPSICO INC,1981-02-01,,32.875,29.75,32.5,1.0699588477366255
13901,MO,PHILIP MORRIS INC,1981-02-01,,48.25,42.0,48.0,1.0971428571428572
13928,P,PHILLIPS PETROLEUM CO,1981-02-01,,51.375,45.25,47.5,0.9313725490196079
14541,SD,STANDARD OIL CO CALIFORNIA,1981-02-01,,95.0,86.125,91.625,1.0041095890410958
15579,TXN,TEXAS INSTRUMENTS INC,1981-02-01,,118.75,102.75,111.875,1.0147392290249433
15720,SCE,SOUTHERN CALIFORNIA EDISON CO,1981-02-01,,24.25,22.875,24.25,1.0
16600,HSY,HERSHEY FOODS CORP,1981-02-01,,29.0,23.5,28.625,1.2052631578947368
16678,KR,KROGER CO,1981-02-01,,25.125,19.25,24.875,1.24375
17005,MES,MELVILLE CORP,1981-02-01,,44.0,38.125,43.5,1.1189710610932475
17478,MHP,MCGRAW HILL INC,1981-02-01,,43.25,39.375,41.5,0.9651162790697675
17750,KMB,KIMBERLY CLARK CORP,1981-02-01,,63.5,56.75,63.125,1.0907127429805616
17830,UTX,UNITED TECHNOLOGIES CORP,1981-02-01,,57.875,50.875,55.875,1.01131221719457
18163,PG,PROCTER & GAMBLE CO,1981-02-01,,71.5,65.125,71.375,1.0652985074626866
18411,SO,SOUTHERN CO,1981-02-01,,11.75,11.25,11.625,1.0
18542,CAT,CATERPILLAR TRACTOR INC,1981-02-01,,65.0,54.625,64.25,1.1576576576576576
18729,CL,COLGATE PALMOLIVE CO,1981-02-01,,15.75,14.125,15.75,1.0769230769230769
19350,DE,DEERE & CO,1981-02-01,,44.875,41.25,44.5,1.0532544378698225
19393,BMY,BRISTOL MYERS CO,1981-02-01,,56.125,48.625,55.5,1.1269035532994924
19561,BA,BOEING CO,1981-02-01,,39.5,34.0,35.0,0.8805031446540881
20482,ABT,ABBOTT LABORATORIES,1981-02-01,,60.0,54.125,59.875,1.0886363636363636
21573,IP,INTERNATIONAL PAPER CO,1981-02-01,,47.25,40.875,46.375,1.1008902077151335
21776,PE,PHILADELPHIA ELECTRIC CO,1981-02-01,,13.125,12.0,12.25,0.9333333333333333
21936,PFE,PFIZER INC,1981-02-01,,51.125,47.125,50.0,0.9900990099009901
22293,GLW,CORNING GLASS WORKS,1981-02-01,,69.0,59.0,68.5,1.1440501043841336
22509,PPG,P P G INDUSTRIES INC,1981-02-01,,50.5,40.5,50.5,1.18475073313783
22592,MMM,MINNESOTA MINING & MFG CO,1981-02-01,,63.375,57.0,62.75,1.0795698924731183
22752,MRK,MERCK & CO INC,1981-02-01,,83.75,79.625,83.5,1.0090634441087614
22779,MOT,MOTOROLA INC,1981-02-01,,69.5,56.875,62.875,0.9748062015503876
23026,OEC,OHIO EDISON CO,1981-02-01,,12.875,12.125,12.625,1.0
23712,PEG,PUBLIC SERVICE ELECTRIC & GAS CO,1981-02-01,,19.125,17.75,18.5,0.9801324503311258
23819,HAL,HALLIBURTON CO,1981-02-01,,76.375,69.5,76.25,1.0374149659863947
23931,NSP,NORTHERN STATES POWER CO MN,1981-02-01,,21.25,20.0,20.375,0.9702380952380952
24010,MSU,MIDDLE SOUTH UTILITIES INC,1981-02-01,,12.25,11.25,12.125,1.0210526315789474
24109,AEP,AMERICAN ELECTRIC POWER CO INC,1981-02-01,,17.25,15.625,16.0,0.927536231884058
24643,AA,ALUMINUM COMPANY AMER,1981-02-01,,68.75,31.25,33.5,0.5458248472505092
25320,CPB,CAMPBELL SOUP CO,1981-02-01,,33.125,30.125,30.75,0.9389312977099237
25785,F,FORD MOTOR CO DEL,1981-02-01,,21.125,19.0,19.625,0.9936708860759493
10145,ACD,ALLIED CHEMICAL CORP,1981-03-01,,57.0,51.375,52.375,0.9835680751173709
