permno,company_name,date,price,return_ex_div,volume,shares_out_thousands,dividend_cash_amount,book_to_market_value,pe_ratio,finegrained_volatility_12m
10145,HONEYWELL INTERNATIONAL INC,2001-01-31,47.25,-0.001321,1074721.0,804936.0,0.0,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-02-28,46.73,-0.011005,803077.0,804936.0,0.1875,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-03-30,40.8,-0.126899,1223251.0,804936.0,0.0,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-04-30,48.88,0.198039,948065.0,804936.0,0.0,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-05-31,48.4,-0.00982,840581.0,809281.0,0.0,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-06-29,34.99,-0.277066,4157950.0,809281.0,0.0,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-07-31,36.87,0.05373,1624712.0,809281.0,0.1875,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-08-31,37.26,0.010578,671087.0,811616.0,0.1875,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-09-28,26.4,-0.291465,1168528.0,811616.0,0.0,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-10-31,29.55,0.119318,830551.0,811619.0,0.0,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-11-30,33.14,0.121489,638714.0,813189.0,0.1875,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2001-12-31,33.82,0.020519,551044.0,813189.0,0.0,3.652454735852041e-07,-281.8333333333333,7.678984850443016
10145,HONEYWELL INTERNATIONAL INC,2002-01-31,33.61,-0.006209,1021523.0,813189.0,0.0,3.675275785971914e-07,-281.8333333333333,7.294030093165231
10145,HONEYWELL INTERNATIONAL INC,2002-02-28,38.12,0.134186,954270.0,813189.0,0.1875,3.240451709509865e-07,-281.8333333333333,6.707466667148566
10145,HONEYWELL INTERNATIONAL INC,2002-03-28,38.27,0.003935,698909.0,814966.0,0.0,3.220712718542455e-07,-281.8333333333333,6.610046703635491
10145,HONEYWELL INTERNATIONAL INC,2002-04-30,36.68,-0.041547,725925.0,814966.0,0.0,3.360323766047431e-07,-281.8333333333333,5.3737427705125915
10145,HONEYWELL INTERNATIONAL INC,2002-05-31,39.2,0.068702,567383.0,817610.0,0.1875,3.134134856471912e-07,-281.8333333333333,3.8088042941998377
10145,HONEYWELL INTERNATIONAL INC,2002-06-28,35.23,-0.101276,564921.0,817611.0,0.0,3.48731013650244e-07,-281.8333333333333,3.8103744944399836
10145,HONEYWELL INTERNATIONAL INC,2002-07-31,32.36,-0.081465,794099.0,817611.0,0.0,3.796598767273823e-07,-281.8333333333333,3.8149895746312894
10145,HONEYWELL INTERNATIONAL INC,2002-08-30,29.95,-0.074475,753999.0,819290.0,0.1875,4.0936947910291067e-07,-281.8333333333333,3.9113923545861677
10145,HONEYWELL INTERNATIONAL INC,2002-09-30,21.66,-0.276795,1197400.0,819290.0,0.0,5.66048748805733e-07,-281.8333333333333,4.85810374217111
10145,HONEYWELL INTERNATIONAL INC,2002-10-31,23.94,0.105263,941812.0,819290.0,0.0,5.121393441575679e-07,-281.8333333333333,5.497089863709429
10145,HONEYWELL INTERNATIONAL INC,2002-11-29,26.01,0.086466,963061.0,821051.0,0.1875,4.703698263584388e-07,-281.8333333333333,5.85412280259637
10145,HONEYWELL INTERNATIONAL INC,2002-12-31,24.0,-0.077278,866909.0,821051.0,0.0,4.741889764866413e-07,-88.88888888888889,6.307050107665712
