permno,company_name,date,price,return_ex_div,volume,shares_out_thousands,dividend_cash_amount,book_to_market_value,pe_ratio,finegrained_volatility_12m
10145,HONEYWELL INTERNATIONAL INC,1960-01-29,51.5,-0.106291,682.0,19906.0,0.0,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-02-29,52.625,0.021845,1749.0,19906.0,0.45,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-03-31,49.0,-0.068884,1273.0,19906.0,0.0,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-04-29,49.375,0.007653,919.0,19906.0,0.0,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-05-31,51.75,0.048101,1115.0,19906.0,0.45,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-06-30,55.875,0.07971,1643.0,19906.0,0.0,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-07-29,54.0,-0.033557,1186.0,19906.0,0.0,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-08-31,56.0,0.037037,962.0,19906.0,0.45,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-09-30,47.875,-0.145089,926.0,19906.0,0.0,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-10-31,49.25,0.028721,1100.0,19906.0,0.0,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-11-30,49.875,0.01269,821.0,19906.0,0.45,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1960-12-30,54.375,0.090226,927.0,19976.0,0.0,5.442027528337177e-07,20.20546918721461,2.7932209603490614
10145,HONEYWELL INTERNATIONAL INC,1961-01-31,57.0,0.048276,1016.0,19976.0,0.0,5.442027528337177e-07,20.20546918721461,3.1672148648299827
10145,HONEYWELL INTERNATIONAL INC,1961-02-28,57.5,0.008772,1274.0,19976.0,0.45,5.442027528337177e-07,20.20546918721461,3.5134178677800874
10145,HONEYWELL INTERNATIONAL INC,1961-03-30,62.5,0.086957,1581.0,19976.0,0.0,5.442027528337177e-07,20.20546918721461,4.307803767055154
10145,HONEYWELL INTERNATIONAL INC,1961-04-28,58.625,-0.062,901.0,19976.0,0.0,5.442027528337177e-07,20.20546918721461,4.275145642566058
10145,HONEYWELL INTERNATIONAL INC,1961-05-31,63.0,0.074627,1081.0,19976.0,0.45,5.442027528337177e-07,20.20546918721461,4.80543558631707
10145,HONEYWELL INTERNATIONAL INC,1961-06-30,58.75,-0.06746,945.0,19976.0,0.0,5.442027528337177e-07,20.20546918721461,4.897191139888877
10145,HONEYWELL INTERNATIONAL INC,1961-07-31,65.0,0.106383,740.0,19976.0,0.0,5.442027528337177e-07,20.20546918721461,5.532402828844456
10145,HONEYWELL INTERNATIONAL INC,1961-08-31,61.75,-0.05,1051.0,19976.0,0.45,5.442027528337177e-07,20.20546918721461,5.717298313014644
10145,HONEYWELL INTERNATIONAL INC,1961-09-29,58.75,-0.048583,719.0,19976.0,0.0,5.442027528337177e-07,20.20546918721461,4.924753397148673
10145,HONEYWELL INTERNATIONAL INC,1961-10-31,56.75,-0.034043,714.0,19976.0,0.0,5.442027528337177e-07,20.20546918721461,4.119012527845187
10145,HONEYWELL INTERNATIONAL INC,1961-11-30,54.0,-0.048458,1569.0,19976.0,0.45,5.442027528337177e-07,20.20546918721461,3.4348646923198602
10145,HONEYWELL INTERNATIONAL INC,1961-12-29,55.625,0.030093,3629.0,20076.0,0.0,5.442027528337177e-07,20.20546918721461,3.298085417972461
10145,HONEYWELL INTERNATIONAL INC,1962-01-31,53.125,-0.044944,1571.0,20076.0,0.0,5.442027528337177e-07,20.20546918721461,3.6893292843255354
